City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
Carthage,TN,36.8611,10.3316,68.0,45,20,11.5,1619274526
Mitsamiouli,KM,-11.3847,43.2844,82.4,83,75,11.5,1619274526
Mataura,NZ,-46.1927,168.8643,44.01,91,14,1.99,1619274526
Puerto Ayora,EC,-0.7393,-90.3518,77.0,88,75,5.75,1619274526
Atuona,PF,-9.8,-139.0333,80.22,75,54,21.92,1619274527
Bethel,US,41.3712,-73.414,62.26,29,1,5.75,1619274460
Bambous Virieux,MU,-20.3428,57.7575,79.36,89,75,9.22,1619274527
Kavieng,PG,-2.5744,150.7967,81.09,77,17,6.82,1619274527
Constitución,CL,-35.3333,-72.4167,60.6,64,0,6.24,1619274527
Manzanillo,CU,20.3433,-77.1167,84.33,52,5,6.8,1619274527
Ostrovnoy,RU,68.0531,39.5131,37.96,100,100,4.88,1619274527
Arraial do Cabo,BR,-22.9661,-42.0278,78.8,69,0,11.5,1619274528
Pevek,RU,69.7008,170.3133,10.44,93,100,2.71,1619274528
Cherskiy,RU,68.75,161.3,23.41,96,100,3.18,1619274528
Port Alfred,ZA,-33.5906,26.891,73.24,64,13,14.54,1619274528
Aden,YE,12.7794,45.0367,83.52,78,34,13.06,1619274262
Ushuaia,AR,-54.8,-68.3,46.4,81,40,3.44,1619274528
Khatanga,RU,71.9667,102.5,32.4,96,100,14.76,1619274528
Busselton,AU,-33.65,115.3333,55.47,86,1,3.69,1619274529
Manaure,CO,11.7751,-72.4445,84.15,62,95,14.85,1619274529
East London,ZA,-33.0153,27.9116,71.6,64,0,10.36,1619274529
Kamaishi,JP,39.2667,141.8833,53.01,75,100,10.8,1619274529
Nikolskoye,RU,59.7035,30.7861,44.19,53,40,2.24,1619274529
Rikitea,PF,-23.1203,-134.9692,76.62,77,100,10.78,1619274529
Ilulissat,GL,69.2167,-51.1,37.4,60,75,3.44,1619274530
Butaritari,KI,3.0707,172.7902,81.59,76,100,8.21,1619274530
Camacha,PT,33.0833,-16.3333,66.2,63,20,20.71,1619274530
Cabo San Lucas,MX,22.8909,-109.9124,65.16,34,1,4.61,1619274530
Punta Arenas,CL,-53.15,-70.9167,46.2,87,0,8.05,1619274530
Saint Paul Harbor,US,57.79,-152.4072,39.2,87,90,6.91,1619274530
Strășeni,MD,47.1414,28.6103,55.4,41,0,9.22,1619274531
Bredasdorp,ZA,-34.5322,20.0403,66.2,63,96,5.75,1619274531
Chany,RU,55.3121,76.7647,45.21,44,15,5.53,1619274531
Alugan,PH,12.2188,125.4808,78.21,85,79,6.26,1619274531
Rio Pomba,BR,-21.2747,-43.1792,74.55,50,20,4.61,1619274531
Te Anau,NZ,-45.4167,167.7167,44.74,87,80,6.69,1619274531
Sobolevo,RU,54.4299,31.8996,41.49,54,100,15.14,1619274531
New Norfolk,AU,-42.7826,147.0587,47.08,81,100,1.01,1619274532
Hasaki,JP,35.7333,140.8333,48.87,93,20,3.44,1619274532
Bluff,NZ,-46.6,168.3333,44.01,91,70,1.99,1619274532
Thinadhoo,MV,0.5333,72.9333,83.3,68,21,6.44,1619274532
Lüderitz,NA,-26.6481,15.1594,70.47,64,1,9.93,1619274533
Yellowknife,CA,62.456,-114.3525,10.2,67,20,5.75,1619274533
Isangel,VU,-19.55,169.2667,78.08,81,92,10.45,1619274533
Jamestown,US,42.097,-79.2353,51.46,40,1,10.36,1619274533
Pisco,PE,-13.7,-76.2167,67.57,83,0,5.75,1619274533
Tasiilaq,GL,65.6145,-37.6368,35.6,75,75,6.91,1619274533
Okhotsk,RU,59.3833,143.3,17.56,78,70,9.46,1619274534
Tamandaré,BR,-8.7597,-35.1047,85.33,58,16,8.46,1619274534
Buraidah,SA,26.326,43.975,98.6,11,20,5.75,1619274534
Novouzensk,RU,50.4592,48.1431,56.84,65,97,15.48,1619274534
Kirakira,SB,-10.4544,161.9205,79.25,78,90,4.5,1619274534
North Bend,US,43.4065,-124.2243,46.4,100,90,4.61,1619274534
Raudeberg,NO,61.9875,5.1352,41.0,56,90,12.66,1619274534
Katsuura,JP,35.1333,140.3,60.3,72,0,10.36,1619274490
Rochegda,RU,62.8,43.25,58.57,45,79,10.02,1619274535
Comodoro Rivadavia,AR,-45.8667,-67.5,55.4,67,0,5.75,1619274535
Isla Mujeres,MX,21.2311,-86.731,82.11,74,75,19.57,1619274535
Barrow,US,71.2906,-156.7887,15.8,79,1,1.52,1619274535
Fort Myers Beach,US,26.452,-81.9481,81.0,69,1,14.97,1619274422
Mar del Plata,AR,-38.0023,-57.5575,66.06,72,40,13.8,1619274535
La Ronge,CA,55.1001,-105.2842,20.3,49,16,8.05,1619274536
Château-Thierry,FR,49.05,3.4,66.33,32,97,8.01,1619274536
Cape Town,ZA,-33.9258,18.4232,68.7,60,0,14.97,1619274536
Manado,ID,1.487,124.8455,77.0,94,20,1.14,1619274536
Mareeba,AU,-17.0,145.4333,72.63,100,75,10.36,1619274536
Olafsvik,IS,64.8945,-23.7142,44.83,89,100,15.23,1619274536
Zaysan,KZ,47.4667,84.8667,34.39,54,20,8.39,1619274536
Touros,BR,-5.1989,-35.4608,86.0,66,75,12.66,1619274536
Yerbogachën,RU,61.2767,108.0108,29.98,92,100,1.59,1619274537
Rome,US,43.2128,-75.4557,55.45,47,1,10.36,1619274497
Chui,UY,-33.6971,-53.4616,68.2,79,100,7.99,1619274537
Qaanaaq,GL,77.484,-69.3632,25.16,63,100,9.84,1619274537
Olinda,BR,-8.0089,-34.8553,82.4,65,40,10.36,1619274537
Chichawatni,PK,30.5333,72.7,83.97,18,0,7.34,1619274537
Pinega,RU,64.7001,43.3936,58.96,41,100,8.7,1619274537
Upernavik,GL,72.7868,-56.1549,34.07,82,44,2.59,1619274538
Fortuna,US,40.5982,-124.1573,49.17,93,90,12.66,1619274538
Abay,KZ,49.6311,72.8539,48.2,18,0,11.18,1619274538
Longyearbyen,SJ,78.2186,15.6401,26.6,68,75,8.05,1619274538
Hobart,AU,-42.8794,147.3294,48.67,71,91,4.61,1619274488
Provideniya,RU,64.3833,-173.3,31.59,90,100,0.85,1619274538
Sarangani,PH,5.4033,125.4636,83.82,77,5,15.82,1619274538
Coahuayana Viejo,MX,18.7333,-103.6833,75.2,43,1,1.63,1619274539
Nādāpuram,IN,11.7,75.6667,81.25,82,61,1.74,1619274539
Langsa,ID,4.4683,97.9683,74.84,97,100,3.4,1619274539
Albany,US,42.6001,-73.9662,59.54,38,87,3.0,1619274539
Nanortalik,GL,60.1432,-45.2371,41.18,72,97,2.8,1619274539
Lompoc,US,34.6391,-120.4579,46.56,81,19,5.75,1619274539
Lebanon,US,36.2081,-86.2911,51.76,93,90,8.05,1619274311
Kapaa,US,22.0752,-159.319,71.37,73,40,18.41,1619274539
Lagoa,PT,39.05,-27.9833,58.53,79,6,27.67,1619274540
Upata,VE,8.0086,-62.3989,85.03,51,91,9.13,1619274540
Kavaratti,IN,10.5669,72.642,85.19,69,7,7.74,1619274334
Chokurdakh,RU,70.6333,147.9167,-12.35,99,8,3.89,1619274540
Coyhaique,CL,-45.5752,-72.0662,50.0,81,90,5.75,1619274540
Kloulklubed,PW,7.0419,134.2556,82.4,83,75,6.91,1619274540
Kieta,PG,-6.2167,155.6333,78.39,84,74,2.35,1619274540
Birjand,IR,32.8663,59.2211,82.4,9,0,13.8,1619274540
Vaini,TO,-21.2,-175.2,71.6,100,75,8.61,1619274541
Kaitangata,NZ,-46.2817,169.8464,48.0,88,13,3.0,1619274541
Grand-Santi,GF,4.25,-54.3833,79.99,87,90,2.44,1619274541
Kefamenanu,ID,-9.4467,124.4781,69.58,95,14,3.67,1619274541
Masuguru,TZ,-11.3667,38.4167,78.17,89,41,5.08,1619274541
Talcahuano,CL,-36.7167,-73.1167,55.4,88,20,8.05,1619274541
Logan,US,41.7355,-111.8344,39.87,80,75,5.75,1619274541
George Town,MY,5.4112,100.3354,83.26,74,20,1.14,1619274541
Souillac,MU,-20.5167,57.5167,78.8,89,75,9.22,1619274542
Pontes e Lacerda,BR,-15.2261,-59.3353,86.25,54,8,4.83,1619274542
Dikson,RU,73.5069,80.5464,18.3,93,100,25.99,1619274542
Ponta do Sol,PT,32.6667,-17.1,68.0,60,40,9.22,1619274542
Rafaela,AR,-31.2503,-61.4867,64.81,70,96,7.0,1619274542
Esperance,AU,-33.8667,121.9,62.6,72,100,5.75,1619274542
Padang,ID,-0.9492,100.3543,78.8,94,40,1.14,1619274542
Lebu,CL,-37.6167,-73.65,54.5,78,5,13.13,1619274543
Christchurch,NZ,-43.5333,172.6333,45.39,93,20,4.61,1619274278
Mtsensk,RU,53.2766,36.5733,43.18,64,100,16.58,1619274543
Mahébourg,MU,-20.4081,57.7,78.8,89,75,9.22,1619274543
Hithadhoo,MV,-0.6,73.0833,83.64,68,71,5.5,1619274543
Belaya Gora,RU,68.5333,146.4167,-0.78,100,90,2.19,1619274543
Vengerovo,RU,55.6848,76.7471,45.32,43,18,3.53,1619274543
Ambon City,ID,-3.6954,128.1814,78.8,89,40,3.44,1619274488
Lucea,JM,18.451,-78.1736,82.71,65,20,17.27,1619274544
